a [a:]
koden [‘kɔ:dɛn]
kokayn [kɔ’kaˑɪn]
koklys [‘kɔklɪs]
kola [‘kɤla]
kolonnen [kɔ’lɔn:ɛn]
kolor [‘kɔlɔr]
kolebron [kɤl’ɛbrɔn]
koloren [kɔ’lɔrɛn]
koler [‘kɔlɛr]
kolgh [kɔlx]
kolores [kɔ’lɔrɛs]
kolghes [‘kɔlhɛs]
koloven [kɔ’lɔvɛn]
kolji [‘kɔlʤi]
kolpes [‘kɔlpɛs]
kolpon [‘kɔlpɔn]
kolter [‘kɔltɛr]
koltrebyn [kɔl’trɛbɪn]
kollell [‘kɔl:ɛl]
kollenki [kɔ’lɛŋki]
kolva [‘kɔlva]
kollenwel [kɔl’lɛnwɛl]
kolyn [‘kɔlɪn]
komedi [‘kɔmɛdi]
komendya [kɔ’mɛndja]
kolles [‘kɔl:ɛs]
kollor [‘kɔl:ɔr]
komendyans [kɔ’mɛndjans]
kollverk [‘kɔlvɛrk]
komik [‘kɔmɪk]
kolm [kɔlm]
komma [‘kɔm:a]
kolmek [‘kɔlmɛk]
kommol [‘kɔm:ɔl]
kolmen [‘kɔlmɛn]
komner [‘kɔmnɛr]
kolodhyon [kɔ’lɔðjɔn]
komodyta [kɔ’mɔdɪta]
komolek [kɔ’mɔlɛk]
komondya [kɔ’mɔ:ndja]
kolom [‘kɔlɔm]
kompani [‘kɔmpani]
kolon [‘kɔlɔn]
komparek [kɔm’parɛk]
komparriv [kɔm’par:ɪv]
komparya [kɔm’parja]
kompassus [kɔm’pasʏs]
kolonekter [ˌkɔlɔ’nɛktɛr]
kompella [kɔm’pɛl:a]
kolonnek [kɔ’lɔn:ɛk]
kompes [‘kɔmpɛs]
konkwerrour [kɔŋ’kwɛrˑʊr]
komplegeth [kɔm’plɛgɛθ]
konkwerrya [kɔŋ’kwɛrˑja]
komplek [‘kɔmplɛk]
konna [‘kɔn:a]
komposa [kɔm’pɤza]
komposter [kɔm’pɤstɛr]
konnar [‘kɔn:ar]
komposya [kɔm’pɔzja]
konnyk [‘kɔn:ɪk]
komposyans [kɔm’pɔzjans]
komposydh [kɔm’pɔzɪð]
komposydhes [ˌkɔmpɔ’zɪðɛs]
komprehendya [ˌkɔmprɛ’hɛndja]
konsel [‘kɔnsɛl]
kompressa [kɔm’prɛsa]
kompressyans [kɔm’prɛsjans]
konseler [‘kɔnsɛlɛr]
komptyer [‘kɔmptjɛr]
kon [kɔ:n]
konselores [ˌkɔnsɛ’lɔrɛs]
kona [‘kɔna]
koncevya [kɔn’sɛvja]
konsidrus [kɔn’sɪdrʏs]
kondom [‘kɔndɔm]
konsolen [kɔn’zɔlɛn]
konduk [‘kɔndʏk]
koneri [kɔ’nɛri]
konstrina [kɔn’stri:na]
koneryek [kɔ’nɛrjɛk]
konstrinus [kɔn’stri:nʏs]
konfessor [kɔn’fɛsɔr]
konsumya [kɔn’sy:mja]
konfessya [kɔn’fɛsja]
konsumyans [kɔn’sy:mjans]
konfirmya [kɔn’fɪrmja]
konfondya [kɔn’fɔndja]
konsumyer [kɔn’sy:mjɛr]
konfort [‘kɔnfɔrt]
konsumyores [ˌkɔnsʏm’jɔrɛs]
konfortya [kɔn’fɔrtja]
konsya [‘kɔ:nzja]
konin [‘kɔnɪn]
konsyans [‘kɔnsjans]
konjorya [kɔn’ʤɔrja]
konkludya [kɔŋ’kly:dja]
konsystya [kɔn’sɪstja]
kontaynya [kɔn’taɪnja]
kora [‘kɔra]
kontentya [kɔn’tɛntja]
Korawys [kɔ’rawɪs]
kontentys [kɔn’tɛntɪs]
korbel [‘kɔrbɛl]
konter [‘kɔntɛr]
kord [kɔrd]
korden [‘kɔrdɛn]
konternot [kɔn’tɛrnɔt]
kordh [kɔrð]
konteth [‘kɔntɛθ]
Korea [kɔ’rɛ:a]
kontradia [ˌkɔntra’di:a]
Korean [kɔ’rɛ:an]
kontradians [ˌkɔntra’di:ans]
Koreanes [ˌkɔrɛ’anɛs]
kontradiek [ˌkɔntra’di:ɛk]
Koreek [kɔ’rɛ:jɛk]
kontrari [‘kɔntrari]
koreek [kɔ’rɛ:jɛk]
koren [‘kɔrɛn]
korev [‘kɔr(ɛ)v]
kontrewaytya [ˌkɔntrɛ’waɪtja]
korf [kɔrf]
kontrewaytyans [ˌkɔntrɛ’waɪtjans]
korflan [‘kɔrflan]
korfliw [‘kɔrflɪʊ]
kontrolya [kɔn’trɔlja]
korforeth [kɔr’fɔrɛθ]
kontron [‘kɔntrɔn]
konvedhadow [ˌkɔnvɛ’ðadɔʊ]
koriander [ˌkɔri’andɛr]
konvedhes [kɔn’vɛðɛs]
korkyn [‘kɔrkɪn]
konveya [kɔn’vɛja]
korkynna [kɔr’kɪn:a]
konveyour [kɔn’vɛjʊr]
konyges [kɔ’nɪgɛs]
kornel [‘kɔrnɛl]
koog [ko:g]
kornella [kɔr’nɛl:a]
kool [ko:l]
kornet [‘kɔrnɛt]
kornya [‘kɔrnja]
korr [kɔr:]
kooth [ko:θ]
kopel [‘kɔpɛl]
korr- [kɔr:-]
korrbryv [‘kɔrbrɪv]
korrdon [‘kɔrdɔn]
kosmonieth [ˌkɔsmɔ’ni:ɛθ]
korres [‘kɔr:ɛs]
kosmos [‘kɔsmɔs]
korrgowsell [kɔr’gɔʊzɛl]
kosoleth [kɔ’zɔlɛθ]
korrik [‘kɔr:ɪk]
kossya [‘kɤsja]
korrvarvus [kɔr’varvʏs]
korrwelek [kɔr’wɛlɛk]
korrwelell [kɔr’wɛlɛl]
kors [kɔrz]
kostek [‘kɔstɛk]
korsen [‘kɔrzɛn]
kosten [‘kɔstɛn]
korset [‘kɔrsɛt]
kostenna [kɔs’tɛn:a]
korsyer [‘kɔrzjɛr]
kostrel [‘kɔstrɛl]
kort [kɔrt]
kostrelas [kɔs’trɛlas]
kortes [‘kɔrtɛs]
kortesi [‘kɔrtɛzi]
kostya [‘kɔstja]
kortesies [ˌkɔrtɛ’zi:ɛs]
koswik [‘kɤzwɪk]
korynt [‘kɔrɪnt]
kota [‘kɔ:ta]
kos [kɔ:z]
koth [kɔ:θ]
kosa [‘kɔza]
kosek [‘kɤzɛk]
kothe [ˌkɔt’hɛ:]
kosel [‘kɔzɛl]
kotheans [ˌkɔt’hɛ:ans]
koselhe [ˌkɔzɛl’hɛ:]
kothes [ˌkɔt’hɛ:z]
kothhe [ˌkɔθ’hɛ:]
kosfinel [kɤs’finɛl]
kothman [‘kɔθman]
kosin [‘kɔzɪn]
kothni [‘kɔθni]
koton [‘kɔtɔn]
kott [kɔt]
koska [‘kɔska]
kottha [‘kɔθˑa]
koskor [‘kɔskɔr]
kough [ku:x]
koskti [‘kɔskti]
kougol [‘kʊgɔl]
kosmek [‘kɔsmɛk]
koukou [‘kʊku]
kosmetek [kɔz’mɛtɛk]
kov [kɔ:v]
koweth [‘kɔwɛθ]
kowethas [kɔ’wɛθas]
kovadh [‘kɔvað]
kovadha [kɔ’vaða]
kovaytya [kɔ’vaɪtja]
kovaytys [kɔ’vaɪtɪs]
kowethasek [ˌkɔwɛ’θazɛk]
kovia [kɔ’vi:a]
kovnotyans [kɔv’nɔtjans]
kowethegeth [ˌkɔwɛ’θɛgɛθ]
kovro [‘kɔvrɔ]
kowethek [kɔ’wɛθɛk]
kowethes [kɔ’wɛθɛs]
kovskrifa [kɔf’skrifa]
kovskrifans [kɔf’skrɪfans]
kovskrifla [kɔf’skrɪfla]
kovskrifva [kɔf’skrɪfva]
kowethus [kɔ’wɛθʏs]
kovva [‘kɔva]
kowethyades [ˌkɔwɛθ’jadɛs]
kow [kɔˑʊ]
kowethyans [kɔ’wɛθjans]
kowa [‘kɔwa]
kowal [‘kɔwal]
kowan [‘kɔwan]
kowethyas [kɔ’wɛθjas]
kowans [‘kɔwans]
kowfordh [‘kɔʊfɔrð]
koward [‘kɔwart]
kowgrom [‘kɔʊgrɔm]
kowl- [kɔʊl-]
kowas [‘kɔwas]
kowla [‘kɔʊla]
kowlans [‘kɔʊlans]
kowbal [‘kɔʊbal]
kowlbrena [kɔʊl’brɛna]
kowbalhyns [kɔʊ’balhɪns]
kowldevys [kɔʊl’dɛvɪs]
kowell [‘kɔwɛl]
kowlennik [kɔʊ’lɛn:ɪk]
kowella [kɔ’wel:a]
kowesi [kɔ’wɛzi]
kowles [‘kɔʊlɛs]
kowlik [‘kɔʊlɪk]
kowlleski [kɔʊl’lɛski]
kowses [‘kɔʊzɛs]
kowlniver [kɔʊl’nivɛr]
kowsores [kɔʊ’zɔrɛs]
kowlvleujen [ˌkɔʊl’vlœʤɛn]
kowva [‘kɔʊva]
kowlwerth [‘kɔʊlwɛrθ]
koynt [kɔɪnt]
kowlwertha [kɔʊl’wɛrθa]
koyntnans [‘kɔɪntnans]
koyntys [‘kɔɪntɪs]
kowlwrians [kɔʊl’wri:ans]
kraban [‘kraban]
krack [krak]
kowlwrys [‘kɔʊlwrɪs]
krackya [‘krakja]
kowlwul [‘kɔʊlwʏl]
kowlys [‘kɔʊlɪs]
kraf [kra:f]
kownans [‘kɔʊnans]
krag [kra:g]
kragh [kra:x]
kowr [‘kɔʊr]
krambla [‘krambla]
kowr- [kɔʊr-]
kowrek [‘kɔʊrɛk]
krambler [‘kramblɛr]
kowres [‘kɔʊrɛs]
kramblores [kramb’lɔrɛs]
kowrgarow [kɔʊr’garɔʊ]
krampoth [‘krampɤθ]
kowrogeth [kɔʊ’rɔgɛθ]
kramvil [‘kramvɪl]
kowrvalow [kɔʊr’valɔʊ]
kramvilek [kram’vilɛk]
kowrvargh [‘kɔʊrvarx]
kramya [‘kramja]
kows [kɔʊz]
krann [kran:]
krannek [‘kran:ɛk]
krapp [kra:p]
kras [kra:z]
krasa [‘kraza]
kowsel [‘kɔʊzɛl]
krasell [‘krazɛl]
krasyor [‘krazjɔr]
kravas [‘kravas]
kowser [‘kɔʊzɛr]
kravell [‘kravɛl]
kresel [‘krɛzɛl]
kravlost [‘kravlɔst]
kresen [‘krɛzɛn]
kraw [kraˑʊ]
kreador [kre’adɔr]
kresenna [krɛ’zɛn:a]
kreatur [krɛ’atʏr]
kresfoesik [ˌkrɛsfɔ’ɛzɪk]
kreshwilus [krɛs’ʍilʏs]
krefhe [ˌkrɛf’hɛ:]
kresik [‘krɛzɪk]
krefni [‘krɛfni]
kreslu [‘krɛzly]
kreft [krɛft]
krefter [‘krɛftɛr]
kreftor [‘krɛftɔr]
kresosel [krɛz’ɤzɛl]
kressya [‘krɛsja]
kreftores [krɛf’tɔrɛs]
kressys [‘krɛsɪs]
kreftus [‘krɛftʏs]
kresten [‘krɛstɛn]
kreg [krɛ:g]
kregans [‘krɛgans]
krestennek [krɛs’tɛn:ɛk]
kregi [‘krɛgi]
Kresvor [‘krɛzvɔr]
kresvorek [krɛz’vɔrɛk]
krellas [‘krɛl:as]
kren [krɛ:n]
kreswedhek [krɛz’wɛðɛk]
krena [‘krɛna]
kresydh [‘krɛzɪð]
krenans [‘krɛnans]
kresydhes [krɛ’zɪðɛs]
Krener [‘krɛnɛr]
kresydhieth [ˌkrɛzɪ’ði:ɛθ]
krenn [krɛn:]
Krenores [krɛ’nɔrɛs]
kreun [krø:n]
kreunell [‘krœnɛl]
kresek [‘krɛzɛk]
kreuni [‘krœni]
kreunyer [‘krœnjɛr]
kroder [‘krɤdɛr]
krev [krɛ:v]
krodhvol [‘krɔðvɔl]
krevder [‘krɛvdɛr]
krodhvolas [krɔð’vɔlas]
krey [krɛˑɪ]
krodra [‘krɤdra]
kreyon [‘krɛjɔn]
krog [krɔ:g]
kreyth [krɛɪθ]
kreythtya [‘krɛɪθja]
krogbren [‘krɔgbrɛn]
kri [kri:]
kria [‘kri:a]
krogen [‘krɔgɛn]
krib [kri:b]
kribas [‘kribas]
kriben [‘kribɛn]
kroghen [‘krɔhɛn]
krin [kri:n]
kris [kri:z]
krisek [‘krizɛk]
Krist [kri:st]
kroghendanow [ˌkrɔhɛn’danɔʊ]
Kristonedh [krɪs’tɔnɛð]
krogla [‘krɔgla]
Kristones [krɪs’tɔnɛs]
kroglen [‘krɔglɛn]
Kristyon [‘krɪstjɔn]
krokodil [‘krɔkɔdɪl]
kromm [krɔm:]
kriv [kri:v]
krommen [‘krɔm:ɛn]
krivder [‘krɪvdɛr]
krommlegh [‘krɔmlɛx]
kriys [‘kri:ɪs]
krommvagh [‘krɔmvax]
kroadur [krɔ’adʏr]
Kroat [krɔ’a:t]
kronegyn [krɔ’nɛgɪn]
Kroatek [krɔ’atɛk]
kronek [‘krɔnɛk]
kroatek [krɔ’atɛk]
Kroates [krɔ’atɛs]
Kroati [krɔ’a:ti]
kronk [krɔŋk]
kroban [‘krɤban]
kronkya [‘krɔŋkja]
kronogas [krɔ’nɔgas]
kropya [‘krɔ:pja]
kroth [krɔ:θ]
kroch [krɔ:ʧ]
kroust [kru:st]
kubek [‘kybɛk]
krowd [krɔʊd]
krowji [‘krɔʊʤi]
kudh [ky:ð]
krows [krɔʊz]
kudha [‘kʏða]
krowsek [‘krɔʊzɛk]
kudhlen [‘kʏðlɛn]
krowseryow [krɔʊ’zɛrjɔʊ]
krowsfordh [‘krɔʊsfɔrð]
kudhoberys [ˌkʏðɔ’bɛrɪs]
krowslinek [krɔʊz’linɛk]
krowslinen [krɔʊz’linɛn]
kudhys [‘kʏðɪs]
kudyn [‘kʏdɪn]
kruel [‘kry:ɛl]
kruelder [krʏ’ɛldɛr]
kuhudha [kʏ’hʏða]
krug [kry:g]
kuhudhans [kʏ’hʏðans]
krullya [‘krʊlˑja]
krullys [‘krʊl:ɪz]
kuhudhys [kʏ’hʏðɪs]
kukomber [‘kʏkɔmbɛr]
kruskyn [‘krʏskɪn]
kul [ky:l]
krycket [‘krɪkɛt]
kuldremenva [ˌkʏldrɛ’mɛnva]
kryghlam [‘krɪxlam]
kulyek [‘kʏljɛk]
kryghylli [krɪ’hɪl:i]
kumin [‘ky:mɪn]
kummyas [‘kʏm:jas]
kryjyans [‘krɪʤjans]
kryjyk [‘krɪʤɪk]
kryllas [‘krɪl:as]
kuner [‘kʏnɛr]
krys [krɪ:z]
kuntel [‘kʏntɛl]
krysadow [krɪ’zadɔʊ]
kunteller [kʏn’tɛl:ɛr]
krysi [‘krɪzi]
kryspows [‘krɪspɔʊs]
kuntelles [kʏn’tɛl:ɛs]
krytika [krɪ’tika]
kuntellyans [kʏn’tɛlˑjans]
krytykel [‘krɪtɪkɛl]
kub [ky:b]
kuntelores [ˌkʏntɛ’lɔrɛs]
kuntilow [kʏnt’ilɔʊ]
kweth [kwɛ:θ]
kwetha [‘kwɛθa]
kur [ky:r]
kuriek [kʏ’ri:ɛk]
kwethyn [‘kwɛθɪn]
kurri [‘kʏr:i]
kwilkyn [‘kwɪlkɪn]
kurun [‘kʏrʏn]
kwit [kwi:t]
kurunik [kʏ’rʏnɪk]
kwoffi [‘kwɔfi]
kurunyans [kʏ’rʏnjans]
kwys [kwɪ:z]
kwytya [‘kwɪtja]
kurya [‘ky:rja]
kwytyans [‘kwɪtjans]
kussul [‘kʏsʏl]
kyf [kɪ:f]
kussulya [kʏ’sʏlja]
kyfeyth [‘kɪfɛɪθ]
kussulyans [kʏ’sʏljans]
kyfya [‘kɪfja]
kussulyek [kʏ’sʏljɛk]
kyfyans [‘kɪfjans]
kussulyer [kʏ’sʏljɛr]
kyfyansek [kɪf’janzɛk]
kygel [‘kɪgɛl]
kussulyores [ˌkʏsʏl’jɔrɛs]
kyhwedhel [kɪ’ʍɛðɛl]
kussyn [‘kʏsɪn]
kyhwedhla [kɪ’ʍɛðla]
kyjya [‘kɪʤja]
kuv [ky:v]
kyjyans [‘kɪʤjans]
kuvder [‘kʏvdɛr]
kwackya [‘kwakja]
kylasenna [ˌkɪla’zɛn:a]
kwadrant [‘kwadrant]
kwalifia [ˌkwalɪ’fi:a]
kwalifians [ˌkwalɪ’fi:ans]
kwalita [‘kwalɪta]
kwarel [‘kwarɛl]
kwarter [‘kwartɛr]
kyllas [‘kɪl:as]
kwartron [‘kwartrɔn]
kymygen [kɪ’mɪgɛn]
kwartrona [kwar’trɔna]
kymygieth [ˌkɪmɪ’gi:ɛθ]
kwestyon [‘kwɛstjɔn]
kymygiethel [kɪˌmɪgi’ɛθɛl]
ladha [‘laða]
kymygydh [kɪ’mɪgɪð]
ladher [‘laðɛr]
kymygydhes [ˌkɪmɪ’gɪðɛs]
ladhores [la’ðɔrɛs]
kymyk [‘kɪmɪk]
ladhva [‘laðva]
kymyst [‘kɪmɪst]
kymystes [kɪ’mɪstɛs]
ladra [‘ladra]
ladrans [‘ladrans]
kyngel [‘kɪŋgɛl]
ladres [‘ladrɛs]
kyni [kɪni]
kynnik [‘kɪn:ɪk]
kynnyav [‘kɪn:jav]
ladrynsi [lad’rɪnzi]
lafyl [‘lafɪl]
lagas [‘lagas]
kynseghwa [kɪn’zɛxwa]
kynser [‘kɪnzɛr]
kynseres [kɪn’zɛrɛs]
lagasek [la’gazɛk]
kynserneth [kɪn’zɛrnɛθ]
lagatta [la’gata]
lagen [‘lagɛn]
lagha [‘laha]
kynvan [‘kɪnvan]
laghyades [lax’jadɛs]
kyttrin [kɪ’tri:n]
kyttrinva [kɪ’trɪnva]
laghyas [‘laxjas]
kywlet [‘kɪʊlɛt]
lagya [‘lagja]
lagyans [‘lagjans]
labedha [la’bɛða]
lakka [‘laka]
label [‘labɛl]
lamm [lam:]
lamma [‘lam:a]
lammleder [lam’lɛdɛr]
labol [‘labɔl]
lader [‘ladər]
lammlen [‘lamlɛn]
Latviek [‘latvi:ɛk]
lank [laŋk]
latviek [‘latvi:ɛk]
lankes [‘laŋkɛs]
lava [‘la:va]
lavar [‘lavar]
lann [lan:]
lannergh [‘lan:ɛrx]
lanow [‘lanɔʊ]
lavaren [la’varɛn]
lantern [‘lantɛrn]
lavasos [la’vazɔz]
lanwes [‘lanwɛs]
lavrek [‘lavrɛk]
lappa [‘lapa]
lappya [‘lapja]
lappyans [‘lapjans]
lavur [‘lavʏr]
lappyer [‘lapjɛr]
lappyores [lap’jɔrɛs]
lavurya [la’vʏrja]
laptop [‘laptɔp]
lavuryades [ˌlavʏr’jadɛs]
lapya [‘lapja]
lavuryans [la’vʏrjans]
lavuryas [la’vʏrjas]
larchwydh [‘larʧwɪð]
lavurys [la’vʏrɪs]
law [laˑʊ]
lawd [laʊd]
lasek [‘lazɛk]
lawdya [‘laʊdjɐ]
lasnagher [laz’nahɛr]
lay [laˑɪ]
lasnaghores [ˌlazna’hɔrɛs]
lasnaghus [laz’nahʏs]
lasogeth [la’zɔgɛθ]
lastedhes [las’tɛðɛs]
lath [la:θ]
lebanek [lɛ’banɛk]
latimer [‘latɪmɛr]
Lebanon [‘lɛbanɔn]
Lebanyades [ˌlɛban’jadɛs]
latimores [ˌlatɪ’mɔrɛs]
Lebanyas [lɛ’banjas]
Latin [‘latɪn]
latinek [la’tinɛk]
latti [‘lati]
Latvian [lat’vi:an]
Latvianes [ˌlatvi’anɛs]
lecher [‘lɛʧɛr]
lecyans [‘lɛsjans]
lemmel [‘lɛm:ɛl]
led [lɛ:d]
lemmyn [‘lɛm:ɪn]
ledan [‘lɛdan]
len [lɛ:n]
lendya [‘lɛndja]
ledanhe [ˌlɛdan’hɛ:]
leder [‘lɛdər]
lenes [‘lɛnɛs]
ledher [‘lɛðɛr]
ledhrek [‘lɛðrɛk]
lenji [‘lɛnʤi]
ledhyades [lɛð’jadɛs]
lenki [‘lɛŋki]
lenn [lɛn:]
ledhyas [‘lɛðjas]
lenna [‘lɛn:a]
lenner [‘lɛn:ɛr]
lenni [‘lɛn:i]
lennus [‘lɛn:ʏs]
lenores [lɛ’nɔrɛs]
ledrek [‘lɛdrɛk]
lens [lɛnz]
ledri [‘lɛdri]
lent [lɛnt]
ledya [‘lɛ:dja]
lenter [‘lɛntər]
ledyer [‘lɛ:djɛr]
lenthe [ˌlɛnt’hɛ:]
ledyores [lɛd’jɔrɛs]
lentri [‘lɛntri]
lentrus [‘lɛntrʏs]
leel [‘lɛ:ɛl]
lentvil [‘lɛntvɪl]
leelieth [ˌlɛˑɛ’li:ɛθ]
lenwel [‘lɛnwɛl]
leftenant [lɛf’tɛnant]
leowta [lɛ’ɔʊta]
leper [‘lɛpɛr]
leg [lɛ:g]
lergh [lɛrx]
leges [‘lɛgɛs]
legessa [lɛ’gɛsa]
legest [‘lɛgɛst]
legh [lɛ:x]
legri [‘lɛgri]
legryas [‘lɛgrjas]
legrys [‘lɛgrɪs]
lehe [ˌlɛ’hɛ:]
lel [lɛ:l]
lesa [‘lɛza]
lesans [‘lɛzans]
lelder [‘lɛldɛr]
Lelyades [lɛl’jadɛs]
lesbian [‘lɛzbian]
lesbianes [ˌlɛzbi’anɛs]
Lelyas [‘lɛljas]
lesek [‘lɛzɛk]
lemen [‘lɛmɛn]
lesel [‘lɛzɛl]
lesh [lɛ:ʃ]
leshanow [lɛs’hanɔʊ]
lestryn [‘lɛstrɪn]
leshwor [‘lɛsʍɔr]
lesvam [‘lɛzvam]
leshyans [‘lɛʃjans]
lesvroder [lɛz’vrɔdɛr]
lesk [lɛ:sk]
leswedh [‘lɛzwɛð]
leska [‘lɛska]
lesyeth [‘lɛzjɛθ]
leth [lɛ:θ]
lesken [‘lɛskɛn]
leski [‘lɛski]
lesranna [lɛz’ran:a]
lesrannans [lɛz’ran:ans]
lesrennyas [lɛz’rɛnˑjas]
lethwas [‘lɛθwas]
lesrenyades [ˌlɛzrɛn’jadɛs]
lethwrek [‘lɛθwrɛk]
lesson [‘lɛsɔn]
leti [‘lɛti]
lesta [‘lɛsta]
lett [lɛt]
lettrys [‘lɛtrɪs]
lettryseth [lɛt’rɪzɛθ]
lestans [‘lɛstans]
lettya [‘lɛtja]
lestas [‘lɛstas]
letus [‘lɛtʏs]
leugh [lø:x]
leun [lø:n]
leunder [‘lœndɛr]
lestrier [lɛs’tri:ɛr]
leunhe [ˌlœn’hɛ:]
leur [lø:r]
lestriva [lɛst’riva]
leurlen [‘lœrlɛn]
lewa [‘lɛwa]
leurnedh [‘lœrnɛð]
lewd [lɛwd]
lewdnes [‘lɛʊdnɛs]
leuv [lœ:v]
lewes [‘lɛwɛs]
leuvtosa [lœf’tɤza]
lewik [‘lɛwɪk]
leuvtosans [lœf’tɤzans]
lewpard [‘lɛʊpard]
leuvvedhegel [ˌlœvɛ’ðɛgɛl]
lewsel [‘lɛʊzɛl]
lewya [‘lɛʊja]
leuvvedhegneth [ˌlœvɛ’ðɛgnɛθ]
lewyader [lɛʊ’jadɛr]
lewyadores [ˌlɛʊja’dɔrɛs]
leuvvedhek [lœ’vɛðɛk]
lewydh [‘lɛwɪð]
leuvvedhoges [ˌlœvɛ’ðɔgɛs]
lewydhes [lɛ’wɪðɛs]
leuvwelen [lœv’wɛlɛn]
lewyer [‘lɛʊjɛr]
lev [lɛ:v]
leven [‘lɛvɛn]
levenhe [ˌlɛvɛn’hɛ:]
lewyores [lɛʊ’jɔrɛs]
leys [lɛɪz]
leysek [‘lɛɪzɛk]
lia [‘li:a]
leverel [lɛ’vɛrɛl]
leveryans [lɛ’vɛrjans]
liennek [li’ɛn:ɛk]
lies [‘li:ɛs]
levna [‘lɛvna]
lies- [‘liˑɛs-]
levrith [‘lɛvrɪθ]
liesek [li’ɛzɛk]
liesgonisogethek [liˌɛzgɔˌnizɔ’gɛθɛk]
lieshe [ˌliˑɛs’hɛ:]
linennans [lɪ’nɛn:ans]
liesheans [ˌliˑɛs’hɛ:ans]
linennell [lɪ’nɛn:ɛl]
liesheor [ˌliˑɛs’hɛ:ɔr]
linenner [lɪ’nɛn:ɛr]
lieskenedhlek [liˌɛskɛ’nɛðlɛk]
linyek [‘lɪnjɛk]
linyel [‘lɪnjɛl]
lion [‘li:ɔn]
lieskweyth [li’ɛskwɛɪθ]
lisiw [‘lizɪʊ]
liter [‘li:tɛr]
lieskweythresek [liˌɛskwɛɪθ’rɛzɛk]
lith [li:θ]
Lithuani [ˌlɪθy’ani]
liesleur [li’ɛzlœr]
Lithuanian [lɪˌθya’ni:an]
liesplek [li’ɛsplɛk]
Lithuanianes [ˌlɪθyˌani’anɛs]
liesporpos [ˌliˑɛs’pɔrpɔs]
Lithuaniek [lɪˌθya’ni:ɛk]
liesskrif [li’ɛs:krɪf]
liesskrifa [ˌliˑɛs’skrifa]
lithuaniek [lɪˌθya’ni:ɛk]
liesskrifell [ˌliˑɛs’skrifɛl]
liester [li’ɛstɛr]
liestu [li’ɛsty]
liesyethek [ˌliˑɛz’jɛθɛk]
liva [‘liva]
livra [‘lɪvra]
lili [‘lɪli]
livrel [‘lɪvrɛl]
lim [li:m]
livreson [lɪv’rɛ:zɔn]
limaval [lɪm’aval]
Wer [ˌlɪv’wɛ:r]
livwolowys [ˌlɪvwɔ’lɔwɪs]
linas [‘linas]
linasek [lɪ’nazɛk]
livyet [‘lɪvjɛt]
liw [liˑʊ]
linen [‘linɛn]
liwa [‘liwa]
linenna [lɪ’nɛn:a]
liwans [‘liwans]
liwus [‘liwʏs]
lonn [lɔn:]
liwyans [‘lɪʊjans]
loor [lo:r]
liwys [‘liwɪs]
loos [lo:z]
lo [lɔ:]
looth [lo:θ]
lorden [‘lɔrdɛn]
lorek [‘lɤrɛk]
lorel [‘lɤrɛl]
lorell [‘lɤrɛl]
lorgh [lɔrx]
loroges [lɤ’rɔgɛs]
loder [‘lɔdɛr]
lodhen [‘lɔðɛn]
los [lɔ:z]
losanj [‘lɔzanʤ]
loselwas [lɔ’zɛlwas]
lodrik [‘lɔdrɪk]
log [lɔ:g]
losi [‘lɤzi]
logel [‘lɔgɛl]
losk [lɔ:sk]
loskaberth [lɔsk’abɛrθ]
logheth [‘lɔhɛθ]
loskadow [lɔs’kadɔʊ]
logos [‘lɔgɔs]
loskriades [ˌlɔskri’adɛs]
logystek [lɔ’gɪstɛk]
loskrians [lɔsk’ri:ans]
loskrias [lɔsk’ri:as]
lojyk [‘lɔʤɪk]
loskven [‘lɔskvɛn]
lok [lɔ:k]
lokust [‘lɔkʏst]
lolla [‘lɤl:a]
loskvenydh [lɔsk’vɛnɪð]
lomder [‘lɔmdɛr]
lomm [lɔm:]
losonieth [ˌlɔzɔ’ni:ɛθ]
lommas [‘lɔm:as]
losoniethek [lɔˌzɔni’ɛθɛk]
lommhe [ˌlɔmˑ’hɛ:]
losow [‘lɔzɔʊ]
lonchya [‘lɔ:nʧja]
londer [‘lɔndɛr]
loneth [‘lɔnɛθ]
losowa [lɔ’zɔwa]
longya [‘lɔŋgja]
losowedh [lɔ’zɔwɛð]
losoweger [ˌlɔzɔ’wɛgɛr]
lown [lɔʊn]
lownek [‘lɔʊnɛk]
losowegores [lɔˌzɔwɛ’gɔrɛs]
lownya [‘lɔʊnja]
lowr [lɔʊr]
lost [lɔ:st]
lostek [‘lɔstɛk]
lows [lɔʊz]
losten [‘lɔstɛn]
lu [ly:]
luck [lʏk]
lostledan [lɔst’lɛdan]
lugarn [‘lʏgarn]
lostleverel [ˌlɔstlɛ’vɛrɛl]
lostya [‘lɔstja]
lughes [‘lʏhɛs]
losvelyn [lɤz’vɛlɪn]
lughesen [lʏ’hɛzɛn]
loub [lu:b]
louba [‘lu:ba]
lughesi [lʏ’hɛzi]
Loundres [‘lʊndrɛs]
lovan [‘lɔvan]
lovryjyon [lɔv’rɪʤjɔn]
lulyn [‘lʏlɪn]
lowarn [‘lɔwarn]
Lun [ly:n]
lowarnik [lɔ’warnɪk]
lust [ly:st]
lusu [‘lʏzy]
lowarth [‘lɔwarθ]
lusuegyn [ˌlʏzy’ɛgɪn]
lusuek [lʏ’zy:ɛk]
lowarther [lɔ’warθɛr]
lut [ly:t]
lycklod [‘lɪklɔd]
lowarthores [ˌlɔwar’θɔrɛs]
lowen [‘lɔwɛn]
